"filename", "language", "CSS", "TypeScript JSX", "XML", "TypeScript", "JSON with Comments", "JSON", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/client/src/components/InputText/InputText.css", "CSS", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/leeklusky/be-for-reel/client/src/components/InputText/InputText.tsx", "TypeScript JSX", 0, 84, 0, 0, 0, 0, 0, 0, 0, 26, 13, 123
"/Users/leeklusky/be-for-reel/client/src/components/InputText/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/OpenAIRequest/OpenAIRequest.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/OpenAIRequest/OpenAIRequest.tsx", "TypeScript JSX", 0, 154, 0, 0, 0, 0, 0, 0, 0, 4, 20, 178
"/Users/leeklusky/be-for-reel/client/src/components/OpenAIRequest/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/Option/Option.css", "CSS", 165, 0, 0, 0, 0, 0, 0, 0, 0, 12, 37, 214
"/Users/leeklusky/be-for-reel/client/src/components/Option/Option.tsx", "TypeScript JSX", 0, 219, 0, 0, 0, 0, 0, 0, 0, 25, 12, 256
"/Users/leeklusky/be-for-reel/client/src/components/Option/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/Pagination/Pagination.css", "CSS", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 74
"/Users/leeklusky/be-for-reel/client/src/components/Pagination/Pagination.tsx", "TypeScript JSX", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 6, 79
"/Users/leeklusky/be-for-reel/client/src/components/Pagination/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/PollList/PollList.css", "CSS", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"/Users/leeklusky/be-for-reel/client/src/components/PollList/PollList.tsx", "TypeScript JSX", 0, 86, 0, 0, 0, 0, 0, 0, 0, 8, 9, 103
"/Users/leeklusky/be-for-reel/client/src/components/PollList/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/PollListing/PollListing.css", "CSS", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 54
"/Users/leeklusky/be-for-reel/client/src/components/PollListing/PollListing.tsx", "TypeScript JSX", 0, 133, 0, 0, 0, 0, 0, 0, 0, 20, 9, 162
"/Users/leeklusky/be-for-reel/client/src/components/PollListing/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/Question/Question.css", "CSS", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/leeklusky/be-for-reel/client/src/components/Question/Question.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 5, 34
"/Users/leeklusky/be-for-reel/client/src/components/Question/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/ResetPwdModal/ResetPwdModal.css", "CSS", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/leeklusky/be-for-reel/client/src/components/ResetPwdModal/ResetPwdModal.tsx", "TypeScript JSX", 0, 50, 0, 0, 0, 0, 0, 0, 0, 7, 6, 63
"/Users/leeklusky/be-for-reel/client/src/components/ResetPwdModal/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/SearchForm/SearchForm.css", "CSS", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/leeklusky/be-for-reel/client/src/components/SearchForm/SearchForm.tsx", "TypeScript JSX", 0, 55, 0, 0, 0, 0, 0, 0, 0, 7, 8, 70
"/Users/leeklusky/be-for-reel/client/src/components/SearchForm/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/SearchResult/SearchResult.css", "CSS", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/leeklusky/be-for-reel/client/src/components/SearchResult/SearchResult.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, 0, 7, 5, 47
"/Users/leeklusky/be-for-reel/client/src/components/SearchResult/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/SearchingAlert/SearchingAlert.css", "CSS", 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"/Users/leeklusky/be-for-reel/client/src/components/SearchingAlert/SearchingAlert.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/leeklusky/be-for-reel/client/src/components/SearchingAlert/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/Select/Select.css", "CSS", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/leeklusky/be-for-reel/client/src/components/Select/Select.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 0, 0, 0, 0, 9, 9, 61
"/Users/leeklusky/be-for-reel/client/src/components/Select/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/SelectOption/SelectOption.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/SelectOption/SelectOption.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 5, 17
"/Users/leeklusky/be-for-reel/client/src/components/SelectOption/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/Slider/Slider.css", "CSS", 42, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 52
