"filename", "language", "TypeScript JSX", "CSS", "JSON", "Markdown", "JavaScript", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/client/src/components/UserListing/UserListing.css", "CSS", 0, 7, 0, 0, 0, 0, 2, 9
"/Users/leeklusky/be-for-reel/client/src/components/UserListing/UserListing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 2, 12
"/Users/leeklusky/be-for-reel/client/src/components/UserMenu/UserMenu.css", "CSS", 0, 35, 0, 0, 0, 0, 6, 41
"/Users/leeklusky/be-for-reel/client/src/components/UserMenu/UserMenu.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 7, 5, 61
"/Users/leeklusky/be-for-reel/client/src/components/UserMenu/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/UsernameLink/UsernameLink.css", "CSS", 0, 12, 0, 0, 0, 0, 2, 14
"/Users/leeklusky/be-for-reel/client/src/components/UsernameLink/UsernameLink.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 5, 1, 32
"/Users/leeklusky/be-for-reel/client/src/components/index.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 9
"/Users/leeklusky/be-for-reel/client/src/pageComponents/AboutPoll/AboutPoll.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 1, 6
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Footer/Footer.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 1
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Header/Header.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 1
"/Users/leeklusky/be-for-reel/client/src/pageComponents/LoginForm/LoginForm.css", "CSS", 0, 7, 0, 0, 0, 0, 2, 9
"/Users/leeklusky/be-for-reel/client/src/pageComponents/LoginForm/LoginForm.tsx", "TypeScript JSX", 92, 0, 0, 0, 0, 12, 9, 113
"/Users/leeklusky/be-for-reel/client/src/pageComponents/MovieSearch/MovieSearch.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 21, 1, 35
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Nav/Nav.css", "CSS", 0, 46, 0, 0, 0, 2, 11, 59
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Nav/Nav.tsx", "TypeScript JSX", 74, 0, 0, 0, 0, 5, 6, 85
"/Users/leeklusky/be-for-reel/client/src/pageComponents/SignupForm/SignupForm.tsx", "TypeScript JSX", 54, 0, 0, 0, 0, 13, 5, 72
"/Users/leeklusky/be-for-reel/client/src/pages/Create/Create.tsx", "TypeScript JSX", 60, 0, 0, 0, 0, 11, 5, 76
