"filename", "language", "TypeScript JSX", "XML", "CSS", "TypeScript", "JSON with Comments", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/client/src/components/InputText/InputText.css", "CSS", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/leeklusky/be-for-reel/client/src/components/InputText/InputText.tsx", "TypeScript JSX", 84, 0, 0, 0, 0, 0, 0, 0, 0, 26, 13, 123
"/Users/leeklusky/be-for-reel/client/src/components/InputText/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/Option/Option.css", "CSS", 0, 0, 177, 0, 0, 0, 0, 0, 0, 8, 38, 223
"/Users/leeklusky/be-for-reel/client/src/components/Option/Option.tsx", "TypeScript JSX", 215, 0, 0, 0, 0, 0, 0, 0, 0, 25, 12, 252
"/Users/leeklusky/be-for-reel/client/src/components/Option/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/PollList/PollList.css", "CSS", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 7, 43
"/Users/leeklusky/be-for-reel/client/src/components/PollList/PollList.tsx", "TypeScript JSX", 64, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 79
"/Users/leeklusky/be-for-reel/client/src/components/PollList/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/PollListing/PollListing.css", "CSS", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/leeklusky/be-for-reel/client/src/components/PollListing/PollListing.tsx", "TypeScript JSX", 129, 0, 0, 0, 0, 0, 0, 0, 0, 20, 9, 158
"/Users/leeklusky/be-for-reel/client/src/components/PollListing/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/Question/Question.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/leeklusky/be-for-reel/client/src/components/Question/Question.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 28
"/Users/leeklusky/be-for-reel/client/src/components/Question/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/ResetPwdModal/ResetPwdModal.css", "CSS", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/leeklusky/be-for-reel/client/src/components/ResetPwdModal/ResetPwdModal.tsx", "TypeScript JSX", 50, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 63
"/Users/leeklusky/be-for-reel/client/src/components/ResetPwdModal/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/SearchForm/SearchForm.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 6, 32
"/Users/leeklusky/be-for-reel/client/src/components/SearchForm/SearchForm.tsx", "TypeScript JSX", 55, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 70
"/Users/leeklusky/be-for-reel/client/src/components/SearchForm/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/SearchResult/SearchResult.css", "CSS", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/leeklusky/be-for-reel/client/src/components/SearchResult/SearchResult.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 42
"/Users/leeklusky/be-for-reel/client/src/components/SearchResult/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/Select/Select.css", "CSS", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/leeklusky/be-for-reel/client/src/components/Select/Select.tsx", "TypeScript JSX", 41, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 59
"/Users/leeklusky/be-for-reel/client/src/components/Select/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/SelectOption/SelectOption.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/SelectOption/SelectOption.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 17
"/Users/leeklusky/be-for-reel/client/src/components/SelectOption/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/Slider/Slider.css", "CSS", 0, 0, 42, 0, 0, 0, 0, 0, 0, 4, 10, 56
"/Users/leeklusky/be-for-reel/client/src/components/Slider/Slider.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 85
"/Users/leeklusky/be-for-reel/client/src/components/Slider/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/Tabs/Tabs.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 4, 23
"/Users/leeklusky/be-for-reel/client/src/components/Tabs/Tabs.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 34
"/Users/leeklusky/be-for-reel/client/src/components/Tabs/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/TextAreaField/TextAreaField.css", "CSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/leeklusky/be-for-reel/client/src/components/TextAreaField/TextAreaField.tsx", "TypeScript JSX", 68, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 98
"/Users/leeklusky/be-for-reel/client/src/components/TextAreaField/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/UserListing/UserListing.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/leeklusky/be-for-reel/client/src/components/UserListing/UserListing.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 41
"/Users/leeklusky/be-for-reel/client/src/components/UserListing/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/UserMenu/UserMenu.css", "CSS", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/Users/leeklusky/be-for-reel/client/src/components/UserMenu/UserMenu.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 61
"/Users/leeklusky/be-for-reel/client/src/components/UserMenu/index.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/UsernameLink/UsernameLink.css", "CSS", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/leeklusky/be-for-reel/client/src/components/UsernameLink/UsernameLink.tsx", "TypeScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 53
