"filename", "language", "JSON", "JSON with Comments", "XML", "TypeScript", "Markdown", "CSS", "JavaScript", "TypeScript JSX", "HTML", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/client/src/components/Slider/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/TextAreaField/TextAreaField.css", "CSS", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Users/leeklusky/be-for-reel/client/src/components/TextAreaField/TextAreaField.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 64, 0, 18, 10, 92
"/Users/leeklusky/be-for-reel/client/src/components/TextAreaField/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/UsernameLink/UsernameLink.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/leeklusky/be-for-reel/client/src/components/UsernameLink/UsernameLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 5, 17
"/Users/leeklusky/be-for-reel/client/src/components/UsernameLink/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"/Users/leeklusky/be-for-reel/client/src/index.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/leeklusky/be-for-reel/client/src/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 3, 4, 27
"/Users/leeklusky/be-for-reel/client/src/logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/leeklusky/be-for-reel/client/src/pageComponents/AboutPoll/AboutPoll.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/AboutPoll/AboutPoll.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 4, 41
"/Users/leeklusky/be-for-reel/client/src/pageComponents/AboutPoll/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Header/Header.css", "CSS", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Header/Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 4, 22
"/Users/leeklusky/be-for-reel/client/src/pageComponents/Header/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/LoginForm/LoginForm.css", "CSS", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/Users/leeklusky/be-for-reel/client/src/pageComponents/LoginForm/LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 82, 0, 7, 10, 99
"/Users/leeklusky/be-for-reel/client/src/pageComponents/LoginForm/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/pageComponents/MovieSearch/MovieSearch.css", "CSS", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/Users/leeklusky/be-for-reel/client/src/pageComponents/MovieSearch/MovieSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 156, 0, 4, 8, 168
