"filename", "language", "CSS", "TypeScript JSX", "XML", "TypeScript", "JSON with Comments", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/leeklusky/be-for-reel/client/src/components/SearchResult/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/Select/Select.css", "CSS", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/leeklusky/be-for-reel/client/src/components/Select/Select.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 0, 0, 0, 0, 9, 9, 59
"/Users/leeklusky/be-for-reel/client/src/components/Select/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/SelectOption/SelectOption.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/SelectOption/SelectOption.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 5, 17
"/Users/leeklusky/be-for-reel/client/src/components/SelectOption/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/Slider/Slider.css", "CSS", 42, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 56
"/Users/leeklusky/be-for-reel/client/src/components/Slider/Slider.tsx", "TypeScript JSX", 0, 59, 0, 0, 0, 0, 0, 0, 0, 17, 8, 84
"/Users/leeklusky/be-for-reel/client/src/components/Slider/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/TextAreaField/TextAreaField.css", "CSS", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/leeklusky/be-for-reel/client/src/components/TextAreaField/TextAreaField.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 0, 18, 10, 96
"/Users/leeklusky/be-for-reel/client/src/components/TextAreaField/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/UserListing/UserListing.css", "CSS", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/leeklusky/be-for-reel/client/src/components/UserListing/UserListing.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/leeklusky/be-for-reel/client/src/components/UserListing/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/UsernameLink/UsernameLink.css", "CSS", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/leeklusky/be-for-reel/client/src/components/UsernameLink/UsernameLink.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 5, 21
"/Users/leeklusky/be-for-reel/client/src/components/UsernameLink/index.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/leeklusky/be-for-reel/client/src/components/index.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/leeklusky/be-for-reel/client/src/index.css", "CSS", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/leeklusky/be-for-reel/client/src/index.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 4, 27
